state,official_date,inat_date,user,user_annual_obs,user_total_obs,usa_annual_obs,usa_annual_users
PA,2014-09,2016-08-06,suzyb,1,1,1379380,56291
NJ,2018-07,2018-07-18,angieyarrish,1,1,4654685,183654
DE,2017-11,2019-07-15,wsp_naturalists,46,83,7454766,302261
MD,2018-10,2017-08-13,thenaturalguy,22,24,2490525,91410
VA,2018-01,2018-10-02,adam1990,8,8,4654685,183654
OH,2020-10,2022-06-29,mlmiller654,344,592,15085677,489437
WV,2019-10-30,2021-05-10,yellowblazer,1192,6973,14097133,484110
NY,2020-08,2019-09-05,dannymol89,114,963,7454766,302261
CT,2019-08,2021-09-10,phbenham,101,342,14097133,484110
MA,2021-09,2021-08-07,john_baur,849,3809,14097133,484110
NC,2022-06,2021-06-27,naturelaine,8,189,14097133,484110
RI,2021-08,,,,,,
IN,2021-07,2022-09-14,thedlund,56,421,15085677,489437
MI,2022-08,2022-08-15,sullimander,12,63,15085677,489437
